Period,Return
2018-07,-0.0166
2018-08,0.0042
2018-09,0.006
2018-10,0.0104
2018-11,-0.010700000000000001
2018-12,-0.0275
2019-01,0.032799999999999996
2019-02,0.0040999999999999995
2019-03,-0.0036
2019-04,0.031
2019-05,-0.0068000000000000005
2019-06,0.0189
2019-07,-0.0178
2019-08,0.0239
2019-09,-0.0138
2019-10,0.013300000000000001
2019-11,-0.0033
2019-12,0.0144
2020-01,-0.0012
2020-02,-0.0362
2020-03,-0.1195
2020-04,0.023
2020-05,0.031200000000000002
2020-06,0.0127
2020-07,0.04
2020-08,0.018600000000000002
2020-09,0.0078000000000000005
2020-10,-0.0017000000000000001
2020-11,0.0045000000000000005
2020-12,0.0349
2021-01,-0.0021
2021-02,0.0449
2021-03,0.022799999999999997
2021-04,0.0044
2021-05,0.012
2021-06,-0.0255
2021-07,-0.0454
2021-08,0.0111
2021-09,0.0304
2021-10,0.0163
2021-11,-0.0252
2021-12,0.006
2022-01,0.0365
2022-02,0.0253
2022-03,0.038
2022-04,0.0356
2022-05,0.0003
2022-06,0.013600000000000001
2022-07,-0.0001
2022-08,0.0344
2022-09,0.0365
2022-10,-0.0025
2022-11,-0.021400000000000002
2022-12,-0.0059
2023-01,0.0034999999999999996
2023-02,0.0183
2023-03,-0.0226
2023-04,-0.0097
2023-05,-0.004
2023-06,0.0053
2023-07,0.0209
2023-08,0.0231
2023-09,0.0252
2023-10,0.0139
2023-11,-0.0034999999999999996
2023-12,-0.0206
2024-01,0.0297
2024-02,0.0116
2024-03,0.020499999999999997
2024-04,0.0011
2024-05,0.0062
2024-06,0.0043
2024-07,0.0034999999999999996
2024-08,-0.013300000000000001
2024-09,0.0073
2024-10,-0.0105
2024-11,0.024
2024-12,0.02
2025-01,0.029300000000000003
2025-02,0.0109
2025-03,0.0116
2025-04,0.0015
2025-05,0.0012
2025-06,0.0113
2025-07,-0.009300000000000001
2025-08,0.0101
2025-09,-0.0002
2025-10,0.0052
2025-11,0.005699999999999999
2025-12,0.0165
2026-01,0.0169
2026-02,-0.0024
2026-03,-0.061200000000000004
2026-04,0.034
2026-05,0.022000000000000002
2026-06,0.0032
